名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額（百万円）,自己資本比率,ROE,ROA,発行済株式数
アマガサ,東証JQG,卸売業,商社・卸売 ,6569.0,-79.0,-135.0,-436.0,5023.0,1616.0,308.0,2431.0,941.0,32.2,-23.45,-8.1,1920000.0
明治機械,東証2部,機械,機械 ,6583.0,376.0,390.0,349.0,5714.0,2057.0,1414.0,894.0,6100.0,36.0,18.8,6.61,11402636.0
福島印刷,名証2部,化学,素材・化学 ,6597.0,342.0,347.0,160.0,6711.0,4213.0,460.0,627.0,2538.0,62.8,3.82,2.44,6000000.0
アールビバン,東証JQS,小売業,小売 ,6607.0,979.0,1020.0,-599.0,23317.0,12287.0,1656.0,5705.0,10036.0,52.7,-4.69,-2.56,15463816.0
JBイレブン,名証2部,小売業,小売 ,6637.0,148.0,150.0,40.0,4280.0,1183.0,662.0,2143.0,5794.0,27.6,3.43,0.93,7039900.0
テクノクオーツ,東証JQS,ガラス・土石製品,建設・資材 ,6651.0,723.0,822.0,551.0,9464.0,7143.0,829.0,1138.0,6107.0,75.5,7.91,6.1,7800000.0
ゼネラルパッカー,東証JQS,機械,機械 ,6651.0,293.0,297.0,188.0,6884.0,3388.0,251.0,857.0,3526.0,49.2,5.55,2.73,1798800.0
アイビー化粧品,東証JQS,化学,素材・化学 ,6664.0,1090.0,1099.0,606.0,6945.0,2518.0,804.0,1918.0,42159.0,36.3,22.38,9.62,5104000.0
ニッパンレンタル,東証JQS,サービス業,情報通信・サービスその他 ,6668.0,296.0,186.0,77.0,11391.0,1797.0,721.0,6148.0,1381.0,15.8,4.32,0.65,760252.0
ミクロン精密,東証JQS,機械,機械 ,6706.0,1186.0,1085.0,739.0,11376.0,9428.0,651.0,1268.0,9925.0,82.9,7.94,6.51,7706100.0
東天紅,東証1部,小売業,小売 ,6714.0,-154.0,-164.0,3.0,12959.0,10281.0,2572.0,766.0,6540.0,79.3,0.03,0.02,2572871.0
ヒロセ通商,東証JQS,証券、商品先物取引業,金融（除く銀行） ,6721.0,1529.0,1462.0,880.0,61511.0,5124.0,845.0,6383.0,13880.0,8.3,18.71,1.62,6224000.0
川崎地質,東証JQS,サービス業,情報通信・サービスその他 ,6737.0,126.0,183.0,64.0,6903.0,2910.0,819.0,2145.0,2581.0,42.2,2.19,0.91,5289900.0
サンウッド,東証JQS,不動産業,不動産 ,6759.0,131.0,20.0,170.0,12156.0,3506.0,1587.0,7689.0,2731.0,28.8,4.85,1.49,4894000.0
クリエアナブキ,東証JQS,サービス業,情報通信・サービスその他 ,6790.0,134.0,137.0,84.0,1926.0,881.0,243.0,125.0,2202.0,45.7,9.92,4.37,2340000.0
鉱研工業,東証JQS,機械,機械 ,6795.0,185.0,197.0,298.0,7475.0,3564.0,1165.0,1028.0,6252.0,47.7,8.63,4.01,8970111.0
マイネット,マザーズ,情報・通信業,情報通信・サービスその他 ,6801.0,500.0,410.0,882.0,10223.0,4020.0,1570.0,4920.0,12770.0,39.3,21.94,8.63,8108000.0
きょくとう,東証JQS,サービス業,情報通信・サービスその他 ,6803.0,361.0,446.0,94.0,5060.0,3685.0,555.0,300.0,3497.0,72.8,2.56,1.87,5551230.0
オンリー,東証1部,小売業,小売 ,6824.0,435.0,622.0,277.0,7329.0,5532.0,1079.0,487.0,4849.0,75.5,5.09,3.69,5972000.0
コーアツ工業,東証2部,建設業,建設・資材 ,6876.0,34.0,59.0,-68.0,9740.0,5934.0,1319.0,1473.0,2098.0,60.9,-1.13,-0.7,760000.0
セグエグループ,東証JQS,情報・通信業,情報通信・サービスその他 ,6881.0,218.0,286.0,162.0,3708.0,1546.0,483.0,183.0,12518.0,41.7,12.36,4.62,2806800.0
タカキタ,東証1部,機械,機械 ,6892.0,800.0,838.0,595.0,7466.0,5365.0,1350.0,230.0,8400.0,71.9,11.77,8.29,14000000.0
永大化工,東証JQS,化学,素材・化学 ,6912.0,176.0,189.0,150.0,8354.0,6302.0,1241.0,74.0,2650.0,75.4,2.4,1.84,7300000.0
