名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額（百万円）,自己資本比率,ROE,ROA,発行済株式数
アートネイチャー,東証1部,その他製品,情報通信・サービスその他 ,38961.0,2816.0,2923.0,1394.0,41729.0,24396.0,3667.0,1200.0,24522.0,58.5,5.81,3.38,34393200.0
ニッピ,東証JQS,その他製品,情報通信・サービスその他 ,38976.0,2356.0,2176.0,1894.0,65282.0,26678.0,4404.0,19710.0,11917.0,40.9,7.33,2.92,14445000.0
ブロードバンドタワー,東証JQS,情報・通信業,情報通信・サービスその他 ,38987.0,846.0,767.0,427.0,13530.0,8062.0,2370.0,2559.0,11072.0,59.6,5.44,2.86,51979500.0
ソルコム,東証2部,建設業,建設・資材 ,38999.0,1262.0,1560.0,956.0,35324.0,25342.0,2324.0,58.0,11410.0,71.7,3.83,2.76,5911983.0
モリ工業,東証1部,鉄鋼,鉄鋼・非鉄 ,39042.0,4125.0,4276.0,2222.0,46591.0,33079.0,7360.0,2250.0,20873.0,71.0,6.92,4.89,8074580.0
鶴見製作所,東証1部,機械,機械 ,39064.0,4294.0,4534.0,3063.0,64785.0,52531.0,5188.0,1500.0,57440.0,81.1,5.99,4.82,27829486.0
SRAホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,39142.0,4180.0,4211.0,2646.0,34781.0,19640.0,1000.0,1179.0,44638.0,56.5,13.77,7.95,15240000.0
日本管理センター,東証1部,不動産業,不動産 ,39146.0,2126.0,2110.0,1397.0,9406.0,3480.0,465.0,1547.0,28538.0,37.0,38.85,14.4,19025600.0
カンダホールディングス,東証2部,陸運業,運輸・物流 ,39171.0,1620.0,1712.0,975.0,36441.0,15500.0,1772.0,8283.0,11503.0,42.5,6.45,2.69,11654360.0
大阪チタニウムテクノロジーズ,東証1部,非鉄金属,鉄鋼・非鉄 ,39180.0,2050.0,1226.0,579.0,93265.0,34497.0,8739.0,47200.0,58880.0,37.0,1.69,0.64,36800000.0
エーアンドエーマテリアル,東証1部,ガラス・土石製品,建設・資材 ,39275.0,2367.0,2184.0,1983.0,41452.0,9757.0,3889.0,12933.0,10034.0,23.5,22.54,4.77,77780000.0
日本エスリード,東証1部,不動産業,不動産 ,39300.0,5131.0,5054.0,3109.0,59535.0,34897.0,1983.0,14992.0,32029.0,58.6,9.27,5.32,15465600.0
グルメ杵屋,東証1部,小売業,小売 ,39409.0,412.0,434.0,425.0,32471.0,14414.0,5838.0,10358.0,26454.0,44.4,2.97,1.29,22610359.0
ダイビル,東証1部,不動産業,不動産 ,39451.0,10693.0,9688.0,6160.0,351645.0,149386.0,12227.0,149672.0,133794.0,42.5,4.22,1.75,116851049.0
遠藤照明,東証1部,電気機器,電機・精密 ,39637.0,2500.0,846.0,211.0,53214.0,18654.0,5155.0,25380.0,20450.0,35.1,1.08,0.38,14776321.0
エンチョー,東証JQS,小売業,小売 ,39686.0,524.0,331.0,99.0,38034.0,9077.0,2902.0,17920.0,6021.0,23.9,1.09,0.26,13714995.0
フクビ化学工業,東証2部,化学,素材・化学 ,39690.0,1347.0,1593.0,1144.0,46221.0,28477.0,2194.0,246.0,14399.0,61.6,4.12,2.51,20688425.0
エフティグループ,東証JQS,卸売業,商社・卸売 ,39712.0,4204.0,4165.0,2273.0,23520.0,12105.0,1344.0,4029.0,33794.0,51.5,18.85,10.16,36298200.0
田中精密工業,東証JQS,輸送用機器,自動車・輸送機 ,39752.0,2217.0,2111.0,1003.0,41274.0,15970.0,500.0,10989.0,7733.0,38.7,6.57,2.37,9763600.0
電気興業,東証1部,電気機器,電機・精密 ,39906.0,949.0,953.0,543.0,60164.0,44039.0,8774.0,897.0,40846.0,73.2,1.24,0.9,70424226.0
ライク,東証1部,サービス業,情報通信・サービスその他 ,40051.0,1524.0,2493.0,810.0,24642.0,6567.0,1454.0,8687.0,37355.0,26.6,12.27,3.45,20040000.0
モリト,東証1部,卸売業,商社・卸売 ,40086.0,1767.0,1647.0,1181.0,40853.0,29246.0,3532.0,2516.0,31878.0,71.6,3.91,2.68,30800000.0
ダイニック,東証1部,繊維製品,素材・化学 ,40088.0,1199.0,1370.0,851.0,53028.0,18401.0,5795.0,18918.0,11396.0,34.7,4.76,1.62,42523735.0
北興化学工業,東証1部,化学,素材・化学 ,40117.0,2464.0,2777.0,1965.0,39974.0,18877.0,3214.0,5912.0,20900.0,47.2,10.8,4.67,29985531.0
コメ兵,東証2部,小売業,小売 ,40134.0,832.0,815.0,355.0,25415.0,18190.0,1803.0,4391.0,19204.0,71.6,1.95,1.42,11257000.0
テーオーホールディングス,東証JQS,卸売業,商社・卸売 ,40187.0,32.0,139.0,-503.0,30098.0,3172.0,1775.0,16151.0,7695.0,10.5,-14.68,-1.71,8926896.0
エー・アンド・デイ,東証1部,精密機器,電機・精密 ,40199.0,1133.0,1105.0,477.0,45202.0,14663.0,6388.0,20385.0,12148.0,32.4,3.29,1.07,22579700.0
小津産業,東証1部,卸売業,商社・卸売 ,40235.0,668.0,678.0,479.0,22676.0,13771.0,1322.0,2790.0,17883.0,60.7,3.53,2.15,8435225.0
岡山県貨物運送,東証2部,陸運業,運輸・物流 ,40250.0,1585.0,1722.0,1224.0,41678.0,13584.0,2420.0,17613.0,6468.0,32.6,9.47,2.98,22000000.0
UEX,東証JQS,卸売業,商社・卸売 ,40335.0,793.0,807.0,461.0,31849.0,10435.0,1512.0,5739.0,8244.0,32.8,4.7,1.48,12000000.0
ゼット,東証2部,卸売業,商社・卸売 ,40335.0,293.0,364.0,282.0,20862.0,8246.0,1005.0,391.0,3940.0,39.5,3.45,1.36,20102000.0
ヨンキュウ,東証JQS,卸売業,商社・卸売 ,40342.0,1534.0,1833.0,1097.0,31572.0,23814.0,2187.0,4306.0,16207.0,75.4,4.73,3.68,11576134.0
サンフロンティア不動産,東証1部,不動産業,不動産 ,40394.0,9380.0,8894.0,6452.0,63654.0,35675.0,8387.0,22063.0,48741.0,56.0,19.61,10.96,42755500.0
サクサホールディングス,東証1部,電気機器,電機・精密 ,40414.0,1033.0,1076.0,494.0,41629.0,22600.0,10836.0,6003.0,13302.0,54.3,2.21,1.17,62449621.0
シーアールイー,東証1部,不動産業,不動産 ,40475.0,5188.0,4956.0,3581.0,36968.0,15803.0,2088.0,11582.0,18266.0,42.7,26.35,9.62,12711400.0
タイガースポリマー,東証1部,化学,素材・化学 ,40520.0,2796.0,3047.0,2129.0,40355.0,27152.0,4149.0,2288.0,15848.0,67.3,8.03,5.46,20111598.0
東洋電機製造,東証1部,電気機器,電機・精密 ,40668.0,1571.0,1663.0,1174.0,54927.0,24603.0,4998.0,11755.0,23023.0,44.8,4.86,2.23,9735000.0
安田倉庫,東証1部,倉庫・運輸関連業,運輸・物流 ,40686.0,2576.0,3099.0,2084.0,109156.0,60951.0,3602.0,24777.0,25260.0,55.8,3.43,1.92,30360000.0
横浜魚類,東証JQS,卸売業,商社・卸売 ,40689.0,39.0,47.0,28.0,5387.0,2057.0,829.0,786.0,3485.0,38.2,1.36,0.55,6290000.0
ダイコク電機,東証1部,機械,機械 ,40714.0,1048.0,1374.0,502.0,46828.0,29151.0,674.0,3300.0,24719.0,62.3,1.72,1.07,14783900.0
原田工業,東証JQS,電気機器,電機・精密 ,40857.0,2778.0,2201.0,603.0,33033.0,13150.0,2019.0,11947.0,18059.0,39.8,4.55,1.81,21758000.0
富士紡ホールディングス,東証1部,繊維製品,素材・化学 ,40878.0,6816.0,7076.0,4344.0,50044.0,30149.0,6673.0,2617.0,44067.0,60.2,15.35,9.06,11720000.0
あじかん,東証2部,食料品,食品 ,40935.0,1629.0,1779.0,1101.0,19976.0,11077.0,1102.0,2931.0,8539.0,55.5,10.38,5.71,7700000.0
ツガミ,東証1部,機械,機械 ,41050.0,3083.0,2848.0,2630.0,50127.0,30620.0,12345.0,4183.0,66088.0,61.1,8.44,5.37,64919379.0
日和産業,東証2部,食料品,食品 ,41054.0,693.0,805.0,324.0,26918.0,16827.0,2011.0,4569.0,6103.0,62.5,1.94,1.2,20830825.0
ロイヤルホテル,東証2部,サービス業,情報通信・サービスその他 ,41125.0,2303.0,1818.0,2725.0,66901.0,14125.0,13229.0,33420.0,20646.0,21.1,21.4,4.06,102716515.0
東京計器,東証1部,精密機器,電機・精密 ,41394.0,1121.0,1252.0,709.0,52206.0,26946.0,7218.0,13184.0,25871.0,51.6,2.68,1.38,85382196.0
インテリックス,東証1部,不動産業,不動産 ,41400.0,1756.0,1343.0,891.0,35710.0,9497.0,2209.0,23862.0,8146.0,26.6,9.71,2.63,8825600.0
RVH,東証2部,電気機器,電機・精密 ,41533.0,2628.0,2796.0,841.0,69667.0,10703.0,1678.0,1464.0,9648.0,15.4,9.2,1.76,16926560.0
杉本商事,東証1部,卸売業,商社・卸売 ,41597.0,1950.0,2466.0,1648.0,34228.0,28265.0,2597.0,138.0,19322.0,82.6,5.95,4.91,11399237.0
マルヨシセンター,東証2部,小売業,小売 ,41713.0,562.0,424.0,159.0,17959.0,2056.0,1077.0,10889.0,3456.0,11.4,8.23,0.88,8749990.0
平和不動産,東証1部,不動産業,不動産 ,41747.0,9673.0,8431.0,4514.0,293025.0,97524.0,21492.0,157050.0,78157.0,33.3,4.69,1.54,40059996.0
清和中央ホールディングス,東証JQS,卸売業,商社・卸売 ,41785.0,931.0,1015.0,680.0,28789.0,12101.0,735.0,2675.0,23571.0,42.0,5.76,2.3,3922000.0
ファースト住建,東証1部,不動産業,不動産 ,41811.0,4515.0,4438.0,2934.0,42784.0,26247.0,1584.0,9595.0,28666.0,61.3,11.72,7.26,16901900.0
スズデン,東証1部,卸売業,商社・卸売 ,41872.0,1013.0,1260.0,801.0,28120.0,15895.0,1819.0,3043.0,20456.0,56.5,4.94,2.96,15152600.0
中村屋,東証1部,食料品,食品 ,41901.0,1436.0,1589.0,3852.0,43157.0,25735.0,7469.0,2423.0,30299.0,59.6,16.2,9.24,5976205.0
トーヨーカネツ,東証1部,機械,機械 ,41932.0,3080.0,3441.0,3746.0,53228.0,35481.0,18580.0,3552.0,37842.0,66.7,10.72,7.16,97030741.0
井村屋グループ,東証2部,食料品,食品 ,41997.0,1232.0,1306.0,716.0,26175.0,11298.0,2253.0,3950.0,26388.0,43.2,6.48,2.89,12822200.0
旭ダイヤモンド工業,東証1部,機械,機械 ,42024.0,2645.0,2945.0,2487.0,70682.0,56110.0,4102.0,490.0,63052.0,79.4,4.45,3.51,55700000.0
旭有機材,東証1部,化学,素材・化学 ,42029.0,2062.0,1944.0,1091.0,55040.0,38642.0,5000.0,687.0,29008.0,70.2,2.85,2.02,99002000.0
建設技術研究所,東証1部,サービス業,情報通信・サービスその他 ,42033.0,2378.0,2433.0,1447.0,42644.0,24694.0,3025.0,700.0,14612.0,57.9,5.98,3.34,14159086.0
上村工業,東証2部,化学,素材・化学 ,42081.0,5671.0,5720.0,5293.0,69703.0,53229.0,1336.0,1275.0,67862.0,76.4,10.24,7.69,9878040.0
北陸ガス,東証2部,電気・ガス業,電力・ガス ,42191.0,1543.0,1730.0,1117.0,57760.0,42581.0,2400.0,1488.0,13541.0,73.7,2.65,1.94,4800000.0
広島電鉄,東証2部,陸運業,運輸・物流 ,42231.0,684.0,760.0,1301.0,88980.0,40648.0,2335.0,19999.0,32455.0,45.7,3.25,1.46,30445500.0
ケイヒン,東証1部,倉庫・運輸関連業,運輸・物流 ,42352.0,996.0,872.0,510.0,42057.0,15656.0,5376.0,16405.0,10720.0,37.2,3.35,1.22,65364457.0
フマキラー,東証2部,化学,素材・化学 ,42362.0,2277.0,2407.0,1387.0,36131.0,8963.0,3698.0,12245.0,32057.0,24.8,15.97,4.09,32980000.0
ヤマト,東証1部,建設業,建設・資材 ,42426.0,3075.0,3229.0,1858.0,34696.0,22731.0,5000.0,300.0,19415.0,65.5,8.71,5.64,26927652.0
TOA,東証1部,電気機器,電機・精密 ,42504.0,2935.0,3040.0,1750.0,54294.0,40242.0,5279.0,1292.0,41789.0,74.1,4.38,3.27,34536635.0
ルック,東証1部,繊維製品,素材・化学 ,42624.0,826.0,964.0,256.0,28935.0,19451.0,6340.0,1797.0,13842.0,67.2,1.3,0.87,38237067.0
日本ピグメント,東証2部,化学,素材・化学 ,42631.0,1046.0,1089.0,691.0,27597.0,11742.0,1481.0,6259.0,6965.0,42.5,6.08,2.56,15758994.0
小池酸素工業,東証2部,機械,機械 ,42639.0,1520.0,1852.0,1268.0,53899.0,28405.0,4028.0,5261.0,13614.0,52.7,4.54,2.32,45229332.0
ASTI,東証2部,電気機器,電機・精密 ,42655.0,1591.0,1885.0,1415.0,27922.0,14029.0,2476.0,7286.0,17239.0,50.2,10.53,5.37,17085034.0
朝日インテック,東証2部,精密機器,電機・精密 ,42709.0,10795.0,10941.0,7725.0,63246.0,44651.0,4685.0,8245.0,374692.0,70.6,20.09,13.61,64490800.0
芝浦メカトロニクス,東証1部,電気機器,電機・精密 ,42737.0,1499.0,1132.0,930.0,53721.0,16533.0,6761.0,11600.0,18226.0,30.8,5.77,1.69,51926194.0
シキボウ,東証1部,繊維製品,素材・化学 ,42852.0,3148.0,2739.0,1664.0,88306.0,31854.0,11336.0,25696.0,19377.0,36.1,5.27,1.88,121108290.0
ACKグループ,東証JQS,サービス業,情報通信・サービスその他 ,42879.0,1285.0,1068.0,628.0,27853.0,7326.0,503.0,1589.0,8197.0,26.3,8.89,2.4,6080920.0
黒谷,東証2部,卸売業,商社・卸売 ,42955.0,-592.0,-458.0,-389.0,14375.0,6607.0,1000.0,6295.0,10946.0,46.0,-5.89,-2.71,7168600.0
伊勢湾海運,名証2部,倉庫・運輸関連業,運輸・物流 ,42962.0,1625.0,1863.0,1132.0,43176.0,29968.0,2046.0,2882.0,17839.0,69.4,3.81,2.63,27487054.0
徳倉建設,名証2部,建設業,建設・資材 ,42984.0,1148.0,1168.0,1063.0,29791.0,8657.0,2368.0,5592.0,6136.0,29.1,13.1,3.68,22072850.0
トラスト・テック,東証1部,サービス業,情報通信・サービスその他 ,43035.0,3220.0,3185.0,1923.0,16805.0,6595.0,1562.0,3877.0,60631.0,39.2,32.28,13.39,19433000.0
日本空調サービス,東証1部,サービス業,情報通信・サービスその他 ,43143.0,2394.0,2482.0,1497.0,31944.0,15045.0,1139.0,2872.0,25586.0,47.1,10.47,4.74,35784000.0
日鍛バルブ,東証2部,輸送用機器,自動車・輸送機 ,43175.0,3483.0,3618.0,1413.0,55835.0,23897.0,4530.0,9496.0,11678.0,42.8,6.03,2.54,28978860.0
サトレストランシステムズ,東証1部,小売業,小売 ,43354.0,405.0,416.0,-234.0,31443.0,14174.0,8532.0,9424.0,31416.0,45.1,-1.64,-0.79,33209080.0
なとり,東証1部,食料品,食品 ,43364.0,1993.0,2017.0,1343.0,36432.0,18497.0,1975.0,5820.0,29568.0,50.8,7.5,4.01,15032209.0
日本ロジテム,東証JQS,陸運業,運輸・物流 ,43387.0,201.0,137.0,463.0,37120.0,10849.0,3145.0,11951.0,4399.0,29.2,4.34,1.24,13833109.0
ネツレン,東証1部,金属製品,建設・資材 ,43396.0,3003.0,3589.0,2834.0,76230.0,57537.0,6418.0,1656.0,49045.0,75.5,4.98,3.71,43790500.0
アーク,東証1部,その他製品,情報通信・サービスその他 ,43400.0,1838.0,1672.0,1359.0,42944.0,28192.0,2000.0,3009.0,36236.0,65.6,4.79,3.28,338657431.0
トシン・グループ,東証JQS,卸売業,商社・卸売 ,43407.0,1949.0,2736.0,1752.0,40505.0,34080.0,865.0,310.0,37068.0,84.1,5.18,4.23,11405400.0
IDEC,東証1部,電気機器,電機・精密 ,43426.0,3547.0,3357.0,2440.0,83080.0,33356.0,10056.0,34996.0,80120.0,40.1,7.47,3.69,34224485.0
NaITO,東証JQS,卸売業,商社・卸売 ,43473.0,496.0,707.0,331.0,16300.0,10219.0,2291.0,1312.0,11561.0,62.7,3.28,2.05,54789510.0
柿安本店,東証JQS,食料品,食品 ,43508.0,2240.0,2279.0,1253.0,17997.0,13404.0,1269.0,212.0,24171.0,74.5,9.51,7.02,12446700.0
東京鐵鋼,東証1部,鉄鋼,鉄鋼・非鉄 ,43552.0,454.0,482.0,362.0,53692.0,37493.0,5839.0,4177.0,20370.0,69.8,0.97,0.7,46826528.0
大同工業,東証1部,機械,機械 ,43572.0,2578.0,3279.0,1814.0,58478.0,21960.0,2726.0,17794.0,15378.0,37.6,8.8,3.19,47171006.0
日本バルカー工業,東証1部,化学,素材・化学 ,43640.0,4065.0,3929.0,2348.0,46651.0,29272.0,13957.0,5085.0,53749.0,62.7,8.32,5.22,18688733.0
ヤマダ・エスバイエルホーム,東証1部,建設業,建設・資材 ,43686.0,-60.0,-74.0,-290.0,24401.0,4056.0,9068.0,8000.0,17546.0,16.6,-6.91,-1.11,204018184.0
日本電波工業,東証1部,電気機器,電機・精密 ,43791.0,727.0,472.0,611.0,68830.0,25234.0,10649.0,27939.0,17603.0,36.7,2.4,0.89,20757905.0
リンガーハット,東証1部,小売業,小売 ,43844.0,3284.0,3158.0,1620.0,33192.0,19005.0,9002.0,6645.0,66995.0,57.3,10.74,5.49,26067972.0
ワタベウェディング,東証1部,サービス業,情報通信・サービスその他 ,43908.0,1000.0,674.0,123.0,21336.0,10485.0,4176.0,975.0,7065.0,49.1,1.18,0.58,9909400.0
東京インキ,東証2部,化学,素材・化学 ,43949.0,1181.0,1465.0,1015.0,44674.0,22027.0,3246.0,6998.0,10630.0,49.3,4.77,2.28,27257587.0
南海辰村建設,東証2部,建設業,建設・資材 ,43958.0,2892.0,2792.0,1623.0,37943.0,10165.0,2000.0,11560.0,17878.0,26.8,17.42,4.24,288357304.0
グランディハウス,東証1部,不動産業,不動産 ,43962.0,2715.0,2805.0,1744.0,45682.0,17921.0,2077.0,22415.0,13285.0,39.2,10.15,4.09,30823200.0
シーイーシー,東証1部,情報・通信業,情報通信・サービスその他 ,43976.0,3311.0,3420.0,2612.0,33082.0,24297.0,6586.0,458.0,47921.0,73.4,11.26,8.18,18800000.0
日本金属,東証1部,鉄鋼,鉄鋼・非鉄 ,44020.0,1776.0,1675.0,1343.0,59881.0,17717.0,6857.0,21156.0,21809.0,29.6,7.92,2.27,6700000.0
ヨコオ,東証1部,電気機器,電機・精密 ,44077.0,2516.0,2608.0,2381.0,33319.0,20820.0,3996.0,3964.0,30211.0,62.5,11.98,7.59,20849878.0
ジュンテンドー,東証2部,小売業,小売 ,44078.0,572.0,477.0,238.0,34182.0,10615.0,4224.0,12388.0,4990.0,31.1,2.27,0.7,8331164.0
ローランド ディー．ジー．,東証1部,電気機器,電機・精密 ,44112.0,4358.0,4104.0,2705.0,36341.0,20617.0,3668.0,6120.0,35109.0,56.7,12.43,7.28,12656311.0
日本トムソン,東証1部,機械,機械 ,44130.0,1145.0,905.0,-291.0,99627.0,58216.0,9533.0,26666.0,46600.0,58.4,-0.5,-0.31,73501425.0
ニチバン,東証1部,化学,素材・化学 ,44145.0,4057.0,4274.0,3107.0,56120.0,30766.0,5451.0,2000.0,47739.0,54.8,10.55,5.7,41476012.0
長野計器,東証1部,精密機器,電機・精密 ,44199.0,1850.0,1921.0,1331.0,44809.0,19504.0,4380.0,12111.0,21337.0,43.5,7.11,3.05,19432984.0
日華化学,東証1部,化学,素材・化学 ,44222.0,1458.0,1588.0,346.0,50580.0,16859.0,2898.0,17399.0,18914.0,33.3,1.99,0.69,17710000.0
ダイセキ,東証1部,サービス業,情報通信・サービスその他 ,44232.0,7120.0,7228.0,4132.0,72403.0,56397.0,6382.0,2524.0,128832.0,77.9,7.44,5.79,45124954.0
ユニマット リタイアメント・コミュニティ,東証JQS,サービス業,情報通信・サービスその他 ,44243.0,2114.0,1621.0,1341.0,44057.0,12544.0,100.0,14919.0,11050.0,28.5,11.77,3.24,8598912.0
北雄ラッキー,東証JQS,小売業,小売 ,44251.0,357.0,433.0,174.0,19439.0,4682.0,641.0,8889.0,3756.0,24.1,3.78,0.88,6323201.0
木曽路,東証1部,小売業,小売 ,44347.0,1071.0,1185.0,576.0,37732.0,28868.0,10056.0,920.0,72611.0,76.5,2.0,1.53,25913889.0
栗林商船,東証2部,海運業,運輸・物流 ,44358.0,2321.0,2373.0,910.0,52900.0,14676.0,1215.0,15947.0,6039.0,27.7,6.55,1.7,12739696.0
酉島製作所,東証1部,機械,機械 ,44414.0,1462.0,1871.0,1532.0,67719.0,33125.0,1592.0,13121.0,35568.0,48.9,4.69,2.29,29889079.0
シンデン・ハイテックス,東証JQS,卸売業,商社・卸売 ,44440.0,838.0,502.0,362.0,21206.0,3396.0,993.0,11488.0,6518.0,16.0,10.88,1.78,1841200.0
ルネサンス,東証1部,サービス業,情報通信・サービスその他 ,44449.0,3682.0,3512.0,1969.0,33548.0,9269.0,2210.0,9280.0,37969.0,27.6,23.18,6.13,21379000.0
エスライン,東証2部,陸運業,運輸・物流 ,44478.0,1426.0,1519.0,1224.0,32818.0,18653.0,1938.0,2461.0,12215.0,56.8,6.83,3.79,10945203.0
神姫バス,東証2部,陸運業,運輸・物流 ,44522.0,2793.0,3027.0,1991.0,55585.0,40591.0,3140.0,1058.0,27404.0,73.0,5.03,3.62,30860000.0
アルインコ,東証1部,金属製品,建設・資材 ,44591.0,2913.0,2459.0,1625.0,46431.0,24807.0,6361.0,10191.0,27057.0,53.4,6.7,3.55,21039326.0
物語コーポレーション,東証1部,小売業,小売 ,44596.0,2579.0,3056.0,2072.0,25283.0,13269.0,2708.0,5193.0,43147.0,52.5,16.67,8.65,6009372.0
ホソカワミクロン,東証1部,機械,機械 ,44664.0,3657.0,3718.0,2530.0,47880.0,28602.0,14496.0,2889.0,52725.0,59.7,8.6,5.13,8615269.0
電響社,東証2部,卸売業,商社・卸売 ,44711.0,308.0,1029.0,864.0,32276.0,24415.0,2644.0,1566.0,9291.0,75.6,3.57,2.7,6665021.0
愛知時計電機,東証1部,精密機器,電機・精密 ,44770.0,2890.0,3007.0,2235.0,47998.0,23992.0,3218.0,6899.0,20766.0,50.0,9.8,4.75,5140000.0
アオイ電子,東証2部,電気機器,電機・精密 ,44807.0,5778.0,6141.0,4226.0,52147.0,41592.0,4545.0,1074.0,62400.0,79.8,10.64,8.43,12000000.0
クリヤマホールディングス,東証2部,卸売業,商社・卸売 ,44829.0,1988.0,2286.0,1566.0,41472.0,20050.0,783.0,10189.0,19312.0,48.3,7.91,3.73,11150100.0
ダイトロン,東証1部,卸売業,商社・卸売 ,44932.0,1910.0,1863.0,1217.0,32068.0,13911.0,2200.0,1529.0,21453.0,43.4,8.99,4.01,11155979.0
植木組,東証1部,建設業,建設・資材 ,45051.0,1744.0,1778.0,1249.0,41865.0,18690.0,5315.0,6210.0,9279.0,44.6,6.91,3.09,34367644.0
ハリマ共和物産,東証2部,卸売業,商社・卸売 ,45121.0,1700.0,1774.0,1186.0,23785.0,15496.0,719.0,1262.0,10856.0,65.2,7.96,5.1,5441568.0
林兼産業,東証1部,食料品,食品 ,45235.0,1138.0,1099.0,693.0,27722.0,6203.0,3415.0,12222.0,8304.0,22.4,12.63,2.54,8910000.0
ブイ・テクノロジー,東証1部,精密機器,電機・精密 ,45376.0,5414.0,5406.0,2813.0,47563.0,12226.0,2831.0,5720.0,98717.0,25.7,26.5,6.64,5026300.0
アサガミ,東証2部,倉庫・運輸関連業,運輸・物流 ,45449.0,2102.0,2049.0,1276.0,50510.0,15001.0,2189.0,21347.0,6494.0,29.7,8.91,2.55,14180000.0
近畿車輛,東証1部,輸送用機器,自動車・輸送機 ,45544.0,-14225.0,-14981.0,-14610.0,72648.0,16558.0,5252.0,17430.0,17706.0,22.8,-60.39,-22.44,6908359.0
ナガセ,東証JQS,サービス業,情報通信・サービスその他 ,45567.0,5648.0,5227.0,2669.0,64342.0,15414.0,2138.0,29052.0,44552.0,24.0,16.87,4.08,10148409.0
KOA,東証1部,電気機器,電機・精密 ,45600.0,3136.0,3323.0,2563.0,71859.0,56843.0,6033.0,619.0,84481.0,79.1,4.56,3.63,40479724.0
神栄,東証1部,卸売業,商社・卸売 ,45665.0,1030.0,917.0,135.0,24098.0,3684.0,1980.0,14482.0,6415.0,15.3,4.01,0.57,39600000.0
タカギセイコー,東証JQS,化学,素材・化学 ,45787.0,2605.0,2261.0,1362.0,42167.0,5487.0,2104.0,16107.0,12113.0,13.0,28.51,3.32,13795860.0
マネックスグループ,東証JQS,証券、商品先物取引業,金融（除く銀行） ,45831.0,1059.0,1071.0,298.0,936776.0,81372.0,10394.0,138133.0,5175.0,8.7,0.36,0.03,280591700.0
第一精工,東証1部,電気機器,電機・精密 ,45834.0,401.0,800.0,157.0,59175.0,44585.0,8522.0,6283.0,43295.0,75.3,0.35,0.27,16722800.0
U-NEXT,東証1部,情報・通信業,情報通信・サービスその他 ,45846.0,-396.0,-436.0,-935.0,17797.0,3726.0,1776.0,6347.0,17593.0,20.9,-22.04,-6.23,16473000.0
ミヨシ油脂,東証1部,食料品,食品 ,45919.0,1274.0,1391.0,471.0,50791.0,23524.0,9015.0,10222.0,14873.0,46.3,2.02,0.92,10306895.0
ファルコホールディングス,東証1部,サービス業,情報通信・サービスその他 ,45971.0,2148.0,2269.0,1478.0,30839.0,17647.0,3371.0,2252.0,18499.0,57.2,8.59,4.79,11280177.0
日本ハウスホールディングス,東証1部,建設業,建設・資材 ,45980.0,3858.0,3648.0,2815.0,46805.0,20346.0,3873.0,10236.0,26154.0,43.5,14.58,6.06,45964842.0
関東電化工業,東証1部,化学,素材・化学 ,46042.0,9364.0,9416.0,6686.0,60790.0,32051.0,2877.0,12478.0,65487.0,52.7,23.54,11.76,57546050.0
シノブフーズ,東証2部,食料品,食品 ,46059.0,978.0,944.0,662.0,21034.0,10983.0,4693.0,3276.0,10175.0,52.2,6.16,3.24,13900000.0
ワッツ,東証1部,小売業,小売 ,46176.0,1205.0,1193.0,718.0,18485.0,9265.0,440.0,1260.0,17546.0,50.1,7.88,3.95,13958800.0
ジンズ,東証1部,小売業,小売 ,46189.0,3683.0,3604.0,1980.0,26232.0,15232.0,3202.0,3790.0,159947.0,58.1,13.56,7.78,23980000.0
システナ,東証1部,情報・通信業,情報通信・サービスその他 ,46255.0,3693.0,3407.0,2197.0,25207.0,14660.0,1513.0,1550.0,79778.0,58.2,15.73,9.13,28180000.0
大和,東証2部,小売業,小売 ,46359.0,221.0,262.0,266.0,35356.0,8201.0,3462.0,10666.0,3536.0,23.2,3.31,0.73,6003400.0
澤田ホールディングス,東証1部,証券、商品先物取引業,金融（除く銀行） ,46374.0,5764.0,6843.0,5591.0,365254.0,48034.0,12223.0,83750.0,111782.0,13.2,11.84,1.52,40953500.0
サンテック,東証2部,建設業,建設・資材 ,46397.0,1109.0,1471.0,952.0,43678.0,30203.0,1190.0,1185.0,17280.0,69.1,3.17,2.14,20000000.0
ピーシーデポコーポレーション,東証1部,小売業,小売 ,46417.0,3402.0,3467.0,2269.0,35629.0,22957.0,4737.0,7390.0,47360.0,64.4,10.25,6.42,52622400.0
ダイナパック,東証2部,パルプ・紙,素材・化学 ,46592.0,1017.0,1432.0,1145.0,64821.0,38701.0,4000.0,3573.0,17094.0,59.7,3.1,1.83,10322591.0
TBK,東証1部,輸送用機器,自動車・輸送機 ,46640.0,1818.0,1799.0,-82.0,57443.0,29336.0,4617.0,12115.0,14683.0,51.1,-0.28,-0.14,29424635.0
共和レザー,東証1部,化学,素材・化学 ,46773.0,3770.0,3803.0,2557.0,48398.0,29230.0,1810.0,636.0,23055.0,60.4,9.08,5.27,24500000.0
扶桑薬品工業,東証1部,医薬品,医薬品 ,46782.0,656.0,642.0,861.0,68788.0,32545.0,10758.0,14312.0,26208.0,47.3,2.64,1.25,9451169.0
