Team:選手名,OPS,IsoP,BABIP,BB/K,PA/K,AB/HR,SecA,TA,PS,RC27,年俸(推定)
中日ドラゴンズ:堂上　直倫,0.6479934304484433,0.09722222222222221,0.28618421052631576,0.4727272727272727,7.363636363636363,120.0,0.17222222222222222,0.5371024734982333,1.5,3.198456995201183,1800
中日ドラゴンズ:平田　良介,0.8106343283582089,0.1785,0.28735632183908044,0.9242424242424242,6.090909090909091,28.0,0.37202380952380953,0.828125,6.0,6.0626603469140745,7000
中日ドラゴンズ:ナニータ,0.7283053660335608,0.12565830721003135,0.3155893536121673,0.28846153846153844,6.538461538461538,39.875,0.1755485893416928,0.6176470588235294,0.0,4.382804569761789,3600
中日ドラゴンズ:荒木　雅博,0.6140739760471118,0.05492436974789916,0.2926829268292683,0.40625,8.28125,238.0,0.1638655462184874,0.5434782608695652,1.8181818181818181,3.227000290275764,8800
横浜DeNAベイスターズ:倉本　寿彦,0.7176455631833206,0.06039613526570048,0.36962750716332377,0.2835820895522388,6.552238805970149,414.0,0.10628019323671498,0.5858585858585859,1.3333333333333333,4.525641629832995,1600
横浜DeNAベイスターズ:筒香　嘉智,1.1173207859787195,0.3657506925207756,0.3333333333333333,0.7777777777777778,5.283950617283951,10.314285714285715,0.5457063711911357,1.256,0.0,10.629192352086982,10000
横浜DeNAベイスターズ:桑原　将志,0.7390136359924879,0.12977039274924468,0.3185483870967742,0.3783783783783784,5.108108108108108,36.77777777777778,0.27794561933534745,0.7086614173228346,11.52,4.843913728341206,1300
横浜DeNAベイスターズ:ロペス,0.765102946161442,0.22567966573816156,0.2517241379310345,0.23636363636363636,6.872727272727273,17.95,0.2618384401114206,0.6824817518248175,0.0,4.60251507936508,15000
横浜DeNAベイスターズ:梶谷　隆幸,0.8000666934748282,0.18716053511705683,0.3173076923076923,0.4810126582278481,4.329113924050633,24.916666666666668,0.38461538461538464,0.8464912280701754,15.771428571428572,6.05316938634796,8300
横浜DeNAベイスターズ:戸柱　恭孝,0.5422308188265634,0.03150354609929076,0.28448275862068967,0.28,6.02,282.0,0.08156028368794327,0.4072398190045249,0.0,2.2317663540410972,950
横浜DeNAベイスターズ:石川　雄洋,0.5262660894325479,0.06665354330708664,0.25380710659898476,0.2727272727272727,5.109090909090909,127.0,0.1377952755905512,0.41626794258373206,2.857142857142857,1.9651892945936678,7000
横浜DeNAベイスターズ:エリアン,0.5980383085037475,0.1086831683168317,0.27631578947368424,0.23404255319148937,4.595744680851064,67.33333333333333,0.16831683168316833,0.49375,1.5,2.8553055555555504,8000
横浜DeNAベイスターズ:宮﨑　敏郎,0.865279025656384,0.2063544973544973,0.27607361963190186,0.9375,13.25,18.9,0.328042328042328,0.8125,0.0,5.914897798742135,1200
ヤクルトスワローズ:坂口　智隆,0.7260347470618294,0.05108737864077667,0.33242506811989103,1.04,9.58,414.0,0.1966019417475728,0.6812080536912751,0.0,5.283446186068967,3000
ヤクルトスワローズ:山田　哲人,1.1125524671976732,0.33418537859007835,0.3333333333333333,1.0933333333333333,6.32,11.606060606060606,0.6266318537859008,1.3656716417910448,29.7,11.135747673119871,22000
ヤクルトスワローズ:バレンティン,0.8683806146572104,0.2222222222222222,0.308300395256917,0.6153846153846154,4.648351648351649,17.142857142857142,0.38055555555555554,0.8489208633093526,0.0,6.032947397438779,36000
ヤクルトスワローズ:川端　慎吾,0.7269726590168579,0.06869060773480662,0.32934131736526945,0.8620689655172413,13.482758620689655,362.0,0.1464088397790055,0.6259541984732825,1.3333333333333333,4.756675500651453,16000
